,Player,Country,Team,Type,Auction_Base_price,Auc_Base_price_pounds
79,Quinton De Kock,South Africa,Lucknow Super Giants,Wicket-Keeper,67500000,673110.0
80,Deepak Hooda,India,Lucknow Super Giants,All-Rounder,57500000,573390.0
81,Dushmanta Chameera,Sri Lanka,Lucknow Super Giants,Bowler,20000000,199440.0
82,Evin Lewis,West Indies,Lucknow Super Giants,Batsman,20000000,199440.0
83,K. Gowtham,India,Lucknow Super Giants,All-Rounder,9000000,89748.0
84,Ankit Singh Rajpoot,India,Lucknow Super Giants,Bowler,5000000,49860.0
85,Shahbaz Nadeem,India,Lucknow Super Giants,Bowler,5000000,49860.0
86,Kyle Mayers,West Indies,Lucknow Super Giants,All-Rounder,5000000,49860.0
87,Manan Vohra,India,Lucknow Super Giants,Batsman,2000000,19944.0
88,Mohsin Khan,India,Lucknow Super Giants,Bowler,2000000,19944.0
89,Mayank Yadav,India,Lucknow Super Giants,Bowler,2000000,19944.0
90,Ayush Badoni,India,Lucknow Super Giants,All-Rounder,2000000,19944.0
91,Karan Sharma,India,Lucknow Super Giants,All-Rounder,2000000,19944.0
92,Ishan Kishan,India,Mumbai Indians,Wicket-Keeper,152500000,1520730.0
93,Tim David,Singapore,Mumbai Indians,All-Rounder,82500000,822690.0
94,Jofra Archer,England,Mumbai Indians,All-Rounder,80000000,797760.0
95,Dewald Brevis,South Africa,Mumbai Indians,Batsman,30000000,299160.0
96,N. Tilak Varma,India,Mumbai Indians,All-Rounder,17000000,169524.0
97,Tymal Mills,England,Mumbai Indians,Bowler,15000000,149580.0
98,Riley Meredith,Australia,Mumbai Indians,Bowler,10000000,99720.0
99,Fabian Allen,West Indies,Mumbai Indians,All-Rounder,7500000,74790.0
100,Sanjay Yadav,India,Mumbai Indians,All-Rounder,5000000,49860.0
101,Basil Thampi,India,Mumbai Indians,Bowler,3000000,29916.0
102,Arjun Tendulkar,India,Mumbai Indians,All-Rounder,3000000,29916.0
103,Ramandeep Singh,India,Mumbai Indians,All-Rounder,2000000,19944.0
